"166","49.825221","72.808364","30554"
"167","49.793765","72.822432","30565"
"168","49.813637","72.848725","25787"
"169","49.796161","72.824632","25789"
"170","49.80069","72.820006","25791"
"171","51.128529","71.368733","22154"
"172","51.192003","71.404351","23737"
"173","51.188588","71.418248","23740"
"174","51.191094","71.410702","23741"
"175","51.189485","71.410621","23743"
"176","51.158365","71.482325","23745"
"177","51.128422","71.430564","23747"
"178","51.162195","71.417457","23751"
"179","51.168696","71.415302","23752"
"180","51.175393","71.414125","23753"
"181","51.159088","71.434849","23755"
"182","55.644166","72.541555","23306"
"183","49.85751","73.265184","25843"
"184","55.644166","72.541555","21581"
"185","49.85751","73.265184","82949"
"186","43.443023","77.041854","74082"
"187","53.008522","41.426169","21019"
"188","43.439724","77.031667","38107"
"189","-1","-1","25034"
"190","-1","-1","70421"
"191","49.85751","73.265184","29957"
"192","43.235705","76.5939","72701"
"193","53.008478","41.426771","23900"
"194","-1","-1","68742"
"195","51.198985","71.392978","22085"
"196","51.128422","71.430564","22139"
"197","43.423782","77.028011","79867"
"198","43.290425","76.847118","79937"
"199","43.25070436607026","76.80233001708986","85151"
"200","43.253114","76.957009","61110"
"201","43.2090749","76.8819003","87195"
"202","43.209953","76.876555","87182"
"203","43.235902","76.851699","87014"
"204","43.192669","76.82457","41064"
"205","43.192669","76.82457","41072"
"206","43.27275","76.936644","79969"
"207","43.276183","76.999202","80029"
"208","43.254447","76.957476","61112"
"209","43.252884","76.957835","61115"
"210","43.238286","76.945456","79618"
"211","43.238286","76.945456","79626"
"212","-1","-1","86717"
"213","43.203487","76.625467","79682"
"214","43.202284","76.623383","79692"
"215","-1","-1","82460"
"216","43.2058288","76.6638187","82068"
"217","43.196646","76.635016","34425"
"218","43.202284","76.623383","34442"
"219","43.202284","76.623383","34490"
"220","43.350352","77.051951","87722"
"221","43.202284","76.623383","86042"
"222","43.202284","76.623383","39416"
"223","43.494199","77.037462","39568"
"224","43.379105","76.849777","84627"
"225","-1","-1","74043"
"226","43.202284","76.623383","53370"
"227","43.202284","76.623383","53371"
"228","43.385644","77.120214","38150"
"229","43.201371","76.660502","78240"
"230","43.201535","76.661148","78241"
"231","43.201371","76.660502","78242"
"232","43.201371","76.660502","78247"
"233","43.203237","76.661166","78258"
"234","-1","-1","78270"
"235","43.204289","76.614894","52395"
"236","43.193103","76.625512","45457"
"237","43.202284","76.623383","45481"
"238","43.195909","76.750665","58229"
"239","43.350352","77.051951","70342"
"240","-1","-1","71310"
"241","43.214894","76.629887","64894"
"242","43.385644","77.120214","75336"
"243","43.208455","76.603773","75604"
"244","43.350352","77.051951","63577"
"245","43.385644","77.120214","60833"
"246","43.355793","77.056766","34823"
"247","43.385644","77.120214","34876"
"248","43.350352","77.051951","34919"
"249","49.821031","73.09278","27120"
"250","49.817613","73.081164","27122"
"251","49.978805","73.215238","27126"
"252","49.80408","73.069387","27823"
"253","49.90045","73.07484","27138"
"254","49.799347","73.065354","27826"
"255","49.802272","73.064249","27827"
"256","49.901285","73.074777","27140"
"257","49.90924","73.063054","27149"
"258","49.819438","73.099167","27838"
"259","49.860832","73.026026","27152"
"260","49.822931","73.107458","27843"
"261","49.812643","73.091073","27855"
"262","-1","-1","67421"
"263","43.24989","76.74771","69236"
"264","-1","-1","45184"
"265","-1","-1","45207"
"266","45.015193","78.38444","2138"
"267","45.013179","78.387306","2148"
"268","44.994417","78.388564","2155"
"269","44.994417","78.388564","2156"
"270","45.01764","78.387135","2157"
"271","-1","-1","78562"
"272","-1","-1","39554"
"273","43.244748","76.760475","74124"
"274","-1","-1","78350"
"275","-1","-1","78355"
"276","50.21184","73.065507","26969"
"277","-1","-1","88548"
"278","-1","-1","64897"
"279","-1","-1","71837"
"280","43.240132","76.778711","76880"
"281","43.235403","76.765281","75542"
"282","43.351834","76.769108","75589"
"283","56.185848","50.364747","88121"
"284","43.243054","76.768237","69211"
"285","-1","-1","38784"
"286","-1","-1","29879"
"287","49.812312","72.845321","29886"
"288","49.812899","72.8478","29889"
"289","49.798388","72.833193","29905"
"290","-1","-1","34393"
